Namespace(Cluster_gamma=0.01, Feature_alpha=1.0, Label_beta=0.05, Use_tSNE=True, arch='resnet20_1w1a', batch_size=128, epochs=700, evaluate=False, lr=0.1, momentum=0.9, num_classes=10, print_freq=50, resume='', save_dir='saveModel-000', save_every=100, seed=2023, start_epoch=0, temperature=4.0, warm_up_epochs=8, weight_decay=0.0001, workers=4)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	2.067	1.901	23.674	29.808
1	1.897	1.717	31.096	36.488
2	1.760	1.618	36.562	40.635
3	1.674	1.554	39.521	42.648
4	1.603	1.475	42.941	45.853
5	1.540	1.484	45.270	47.105
6	1.475	1.370	47.624	50.150
7	1.411	1.331	50.519	51.232
8	1.348	1.197	53.137	57.252
9	1.277	1.199	55.781	56.841
10	1.223	1.159	58.095	58.454
11	1.176	1.183	59.992	57.312
12	1.141	1.044	61.190	62.720
13	1.115	1.060	62.402	62.490
14	1.085	1.116	63.391	60.156
15	1.057	1.224	64.569	57.923
16	1.044	1.007	64.683	64.423
17	1.032	1.069	65.447	61.749
18	1.019	0.952	66.308	66.226
19	0.995	1.071	66.643	62.099
20	0.992	0.916	67.210	67.538
21	0.977	0.935	67.604	66.506
22	0.963	0.894	68.606	68.379
23	0.946	0.986	68.900	65.425
24	0.945	0.928	68.786	67.879
25	0.938	0.887	69.243	68.920
26	0.928	0.895	69.551	68.419
27	0.912	0.876	70.296	68.980
28	0.905	0.872	70.637	68.970
29	0.894	0.829	71.138	70.743
30	0.888	0.886	71.426	69.201
31	0.878	0.890	71.757	68.620
32	0.865	0.983	71.973	66.647
33	0.855	0.897	72.564	69.271
34	0.846	0.790	72.871	71.945
35	0.846	0.969	72.899	65.825
36	0.837	0.904	73.033	68.790
37	0.838	0.877	73.215	68.870
38	0.835	0.906	73.468	68.730
39	0.822	1.176	73.762	62.760
40	0.820	0.811	73.770	71.955
41	0.825	0.808	73.592	72.085
42	0.813	0.909	74.038	68.720
43	0.812	0.836	74.061	71.364
44	0.816	0.856	74.101	70.543
45	0.804	0.847	74.413	70.823
46	0.809	0.949	74.379	67.508
47	0.803	0.828	74.519	71.194
48	0.808	0.766	74.397	73.628
49	0.798	0.972	74.702	67.228
50	0.797	0.939	74.619	68.089
51	0.807	0.987	74.405	66.536
52	0.792	0.841	74.932	70.643
53	0.791	0.876	75.088	69.521
54	0.800	0.799	74.649	72.556
55	0.792	0.850	75.046	70.984
56	0.791	1.240	74.898	60.026
57	0.788	0.801	75.068	72.867
58	0.787	0.919	75.080	68.159
59	0.797	0.848	74.754	70.633
60	0.785	0.958	75.172	67.618
61	0.785	0.834	75.158	71.184
62	0.780	0.764	75.345	73.187
63	0.790	1.099	74.972	63.141
64	0.785	0.824	75.256	72.055
65	0.776	0.772	75.415	73.327
66	0.779	0.830	75.439	71.214
67	0.778	0.821	75.443	71.995
68	0.775	0.832	75.561	71.224
69	0.770	0.790	75.787	72.446
