Namespace(arch='resnet18', workers=4, data='/home/wzx/myData/ImageNet2012/', epochs=128, warm_up_epochs=8, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=1e-05, num_classes=1000, seed=2023, Feature_alpha=1.0, Label_beta=0.05, temperature=4.0, Cluster_gamma=0.01, resume='', evaluate=False, Use_tSNE=False, save_dir='saveModel-2', print_freq=200, save_every=8)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	6.094	5.437	2.657	5.998
1	5.386	4.858	7.235	10.731
2	4.952	4.470	11.420	15.164
3	4.602	4.230	15.477	17.921
4	4.327	3.910	18.946	22.109
5	4.100	3.592	22.052	26.440
6	3.914	3.508	24.719	27.891
7	3.766	3.444	26.887	28.790
8	3.647	3.223	28.797	32.520
9	3.520	3.288	30.767	31.591
10	3.422	3.112	32.363	34.419
11	3.349	3.019	33.569	35.747
12	3.286	3.016	34.632	36.008
13	3.234	2.902	35.466	38.033
14	3.188	2.831	36.244	39.185
15	3.153	2.875	36.830	38.141
16	3.115	2.797	37.451	40.066
17	3.087	2.799	37.922	39.956
18	3.059	2.748	38.420	40.615
19	3.037	2.719	38.826	41.250
20	3.015	2.671	39.175	41.879
21	2.995	2.634	39.483	42.338
22	2.976	2.742	39.846	40.781
23	2.960	2.668	40.107	42.167
24	2.946	2.614	40.317	42.975
25	2.933	2.644	40.563	42.396
26	2.918	2.634	40.833	42.730
27	2.907	2.598	40.986	43.269
28	2.895	2.571	41.202	43.602
29	2.885	2.584	41.440	43.269
30	2.874	2.565	41.611	43.806
31	2.864	2.624	41.791	42.676
32	2.856	2.601	41.906	43.147
33	2.843	2.543	42.167	44.249
34	2.836	2.627	42.245	42.544
35	2.826	2.521	42.433	44.605
36	2.819	2.489	42.557	45.200
37	2.812	2.539	42.659	44.289
38	2.803	2.518	42.821	44.567
39	2.796	2.491	42.973	44.792
40	2.790	2.502	43.119	45.184
41	2.783	2.500	43.214	44.754
42	2.774	2.457	43.405	45.757
43	2.769	2.495	43.478	44.846
44	2.761	2.470	43.619	45.453
45	2.752	2.385	43.728	46.961
46	2.745	2.471	43.902	45.329
47	2.737	2.435	44.044	46.168
48	2.732	2.425	44.178	46.530
49	2.726	2.402	44.265	46.803
50	2.718	2.397	44.351	46.947
51	2.711	2.428	44.451	46.474
52	2.704	2.469	44.615	45.545
53	2.697	2.399	44.734	46.817
54	2.691	2.423	44.819	46.166
55	2.681	2.364	44.987	47.302
56	2.675	2.449	45.120	45.998
57	2.673	2.394	45.194	46.881
58	2.659	2.319	45.385	48.197
59	2.655	2.371	45.482	47.516
60	2.647	2.395	45.666	46.791
61	2.641	2.327	45.714	48.145
62	2.633	2.388	45.882	47.354
63	2.626	2.323	45.985	48.245
64	2.620	2.325	46.142	48.303
65	2.610	2.283	46.337	48.964
66	2.605	2.306	46.441	48.478
67	2.598	2.288	46.517	48.846
68	2.589	2.301	46.685	48.738
69	2.582	2.266	46.875	49.403
70	2.573	2.299	47.015	48.490
71	2.565	2.242	47.122	49.772
72	2.556	2.275	47.298	49.209
73	2.547	2.226	47.435	50.248
74	2.538	2.252	47.621	49.690
75	2.529	2.207	47.807	50.517
76	2.520	2.177	47.953	50.901
77	2.513	2.180	48.121	50.891
78	2.500	2.213	48.341	50.359
79	2.492	2.167	48.500	51.112
80	2.484	2.125	48.611	51.913
81	2.476	2.169	48.760	51.042
82	2.463	2.108	48.972	52.336
83	2.452	2.148	49.216	51.522
84	2.442	2.095	49.455	52.462
85	2.432	2.091	49.589	52.642
86	2.419	2.076	49.806	52.903
87	2.408	2.079	50.045	52.967
88	2.398	2.049	50.247	53.460
89	2.386	2.046	50.455	53.734
90	2.374	2.026	50.684	53.836
91	2.363	2.025	50.941	54.050
92	2.347	2.018	51.233	54.038
93	2.337	1.992	51.368	54.607
94	2.324	1.988	51.674	54.565
95	2.312	1.987	51.895	54.673
96	2.302	1.963	52.079	55.355
97	2.300	1.976	52.108	54.784
98	2.303	1.978	52.081	54.818
99	2.302	1.984	52.089	54.647
100	2.299	1.989	52.130	54.706
101	2.297	1.972	52.181	55.124
102	2.293	1.958	52.218	55.120
103	2.286	1.958	52.442	55.180
104	2.281	1.970	52.466	54.994
105	2.271	1.962	52.649	55.052
106	2.263	1.940	52.827	55.773
107	2.248	1.934	53.112	55.603
108	2.237	1.909	53.294	56.304
109	2.223	1.908	53.632	56.414
110	2.209	1.886	53.847	56.807
111	2.194	1.890	54.193	56.542
112	2.178	1.874	54.449	56.975
113	2.164	1.862	54.750	57.123
114	2.147	1.838	55.086	57.630
115	2.135	1.841	55.296	57.786
116	2.121	1.833	55.594	57.927
117	2.111	1.814	55.774	58.311
118	2.098	1.809	56.023	58.207
119	2.087	1.795	56.291	58.632
120	2.077	1.790	56.463	58.730
121	2.069	1.778	56.626	58.920
122	2.061	1.772	56.784	58.936
123	2.052	1.761	56.927	59.253
124	2.046	1.760	57.063	59.265
125	2.039	1.756	57.227	59.425
126	2.034	1.749	57.335	59.415
127	2.031	1.749	57.355	59.499
