Namespace(arch='resnet18', workers=4, data='/home/wzx/myData/ImageNet2012/', epochs=128, warm_up_epochs=0, start_epoch=0, batch_size=256, lr=0.001, momentum=0.9, weight_decay=1e-05, num_classes=1000, seed=2023, Feature_alpha=1.0, Label_beta=0.05, temperature=4.0, Cluster_gamma=0.01, resume='/home/wzx/myCode/Image-ResNet18/saveModel-2/128-checkpoint.th', evaluate=False, Use_tSNE=False, save_dir='saveModel-4', print_freq=200, save_every=8)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	1.908	1.751	57.318	59.265
1	2.037	1.749	57.273	59.407
2	2.035	1.754	57.363	59.299
3	2.036	1.757	57.268	59.209
4	2.035	1.752	57.308	59.389
5	2.036	1.753	57.298	59.351
6	2.035	1.757	57.308	59.235
7	2.036	1.756	57.306	59.293
8	2.034	1.756	57.347	59.173
9	2.035	1.758	57.259	59.297
10	2.035	1.756	57.304	59.287
11	2.036	1.752	57.235	59.213
12	2.037	1.757	57.271	59.335
13	2.036	1.757	57.254	59.349
14	2.037	1.758	57.208	59.295
15	2.037	1.758	57.301	59.143
16	2.035	1.759	57.200	59.319
17	2.037	1.760	57.206	59.177
18	2.037	1.758	57.239	59.269
19	2.037	1.761	57.302	59.205
20	2.036	1.760	57.235	59.177
21	2.038	1.761	57.269	59.365
22	2.036	1.760	57.285	59.235
23	2.038	1.766	57.245	59.030
24	2.038	1.763	57.240	59.153
25	2.039	1.763	57.260	59.109
26	2.038	1.764	57.293	59.111
27	2.035	1.758	57.308	59.353
28	2.038	1.760	57.258	59.271
29	2.038	1.760	57.237	59.365
30	2.037	1.761	57.266	59.293
31	2.038	1.764	57.212	59.157
32	2.041	1.763	57.231	59.305
33	2.037	1.762	57.260	59.213
34	2.037	1.764	57.224	59.048
35	2.039	1.761	57.226	59.343
36	2.038	1.762	57.222	59.281
37	2.038	1.763	57.208	59.205
38	2.037	1.764	57.269	59.145
39	2.037	1.762	57.271	59.121
40	2.040	1.761	57.196	59.155
41	2.041	1.768	57.192	58.988
42	2.038	1.769	57.195	59.095
43	2.040	1.762	57.183	58.990
44	2.040	1.758	57.183	59.233
45	2.037	1.764	57.251	59.129
46	2.040	1.765	57.149	59.167
47	2.036	1.768	57.256	59.101
48	2.038	1.763	57.212	59.159
49	2.037	1.766	57.235	59.183
50	2.038	1.766	57.227	59.139
51	2.037	1.765	57.252	59.040
52	2.037	1.767	57.302	59.129
53	2.037	1.763	57.217	59.077
54	2.039	1.768	57.215	59.058
55	2.033	1.769	57.318	59.036
56	2.035	1.760	57.303	59.093
57	2.037	1.767	57.266	59.018
58	2.034	1.768	57.314	58.960
59	2.034	1.759	57.296	59.305
60	2.033	1.767	57.329	59.079
61	2.035	1.767	57.284	59.197
62	2.033	1.765	57.325	59.139
63	2.034	1.767	57.260	59.137
64	2.035	1.765	57.298	59.105
65	2.033	1.770	57.284	59.163
66	2.034	1.763	57.360	59.077
67	2.032	1.767	57.319	59.279
68	2.034	1.763	57.323	59.034
69	2.033	1.767	57.310	59.071
70	2.033	1.765	57.325	59.111
71	2.033	1.766	57.376	59.093
72	2.030	1.766	57.337	58.904
73	2.030	1.764	57.393	59.099
74	2.029	1.764	57.349	59.151
75	2.029	1.761	57.400	59.191
76	2.027	1.763	57.407	59.221
77	2.030	1.770	57.383	59.079
78	2.026	1.764	57.443	59.205
79	2.027	1.763	57.418	59.393
80	2.027	1.762	57.450	59.339
81	2.026	1.762	57.496	59.165
82	2.023	1.759	57.523	59.153
83	2.024	1.764	57.506	59.034
84	2.025	1.764	57.517	59.231
85	2.024	1.756	57.520	59.261
86	2.021	1.760	57.574	59.249
87	2.022	1.765	57.537	59.046
88	2.023	1.757	57.528	59.231
89	2.022	1.758	57.530	59.235
90	2.021	1.761	57.557	59.091
91	2.023	1.760	57.541	59.147
92	2.018	1.761	57.629	59.233
93	2.018	1.757	57.596	59.291
94	2.017	1.760	57.652	59.225
95	2.018	1.755	57.650	59.281
96	2.018	1.761	57.622	59.221
97	2.016	1.757	57.684	59.349
98	2.017	1.757	57.600	59.171
99	2.017	1.761	57.643	59.263
100	2.015	1.759	57.682	59.147
101	2.016	1.759	57.647	59.339
102	2.015	1.757	57.660	59.235
103	2.014	1.758	57.677	59.175
104	2.015	1.758	57.665	59.357
105	2.014	1.760	57.718	59.169
106	2.014	1.759	57.663	59.227
107	2.011	1.756	57.746	59.367
108	2.013	1.756	57.728	59.359
109	2.011	1.761	57.741	59.097
110	2.011	1.756	57.749	59.081
111	2.011	1.756	57.783	59.427
112	2.008	1.759	57.814	59.089
113	2.009	1.763	57.816	59.199
114	2.008	1.757	57.796	59.291
115	2.009	1.761	57.825	59.219
116	2.009	1.751	57.809	59.397
117	2.009	1.756	57.785	59.211
118	2.009	1.752	57.773	59.447
119	2.009	1.750	57.808	59.425
120	2.008	1.752	57.791	59.435
121	2.010	1.753	57.775	59.231
122	2.011	1.750	57.773	59.427
123	2.010	1.747	57.822	59.483
124	2.008	1.747	57.846	59.712
125	2.007	1.744	57.848	59.605
126	2.006	1.745	57.878	59.625
127	2.006	1.742	57.852	59.569
