Namespace(Cluster_gamma=0.01, Feature_alpha=1.0, Label_beta=0.05, Use_tSNE=True, arch='ResNet18', batch_size=128, epochs=800, evaluate=False, lr=0.3, momentum=0.9, num_classes=10, print_freq=50, resume='', save_dir='saveModel-000', save_every=100, seed=2023, start_epoch=0, temperature=4.0, warm_up_epochs=16, weight_decay=1e-05, workers=4)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	2.082	1.960	28.203	32.652
1	1.933	1.570	35.076	43.470
2	1.734	1.492	41.408	46.955
3	1.492	1.256	48.736	54.688
4	1.325	1.235	54.487	55.589
5	1.216	1.166	58.786	58.914
6	1.136	1.065	61.436	61.769
7	1.087	1.010	63.435	63.381
8	1.035	0.923	65.104	67.238
9	0.989	0.987	67.212	64.994
10	0.949	0.836	68.520	70.593
11	0.919	0.812	69.988	71.765
12	0.887	0.866	70.821	69.832
13	0.861	0.872	71.845	69.852
14	0.835	0.803	72.973	72.075
15	0.809	0.820	73.826	71.665
16	0.777	0.767	74.918	73.508
17	0.744	0.690	76.312	75.781
18	0.715	0.702	77.368	75.731
19	0.686	0.782	78.468	73.728
20	0.656	0.624	79.417	78.425
21	0.638	0.632	80.184	78.365
22	0.626	0.597	80.501	79.698
23	0.605	0.622	81.308	78.736
24	0.589	0.648	81.807	77.875
25	0.565	0.583	82.514	80.389
26	0.552	0.554	82.979	81.450
27	0.536	0.549	83.698	81.150
28	0.523	0.552	84.046	81.901
29	0.516	0.563	84.415	81.170
30	0.508	0.616	84.561	79.908
31	0.492	0.554	85.192	81.210
32	0.484	0.548	85.479	81.500
33	0.478	0.466	85.535	84.004
34	0.474	0.510	85.905	83.203
35	0.458	0.506	86.206	82.812
36	0.445	0.480	86.789	84.145
37	0.446	0.494	86.865	83.674
38	0.445	0.464	86.695	84.686
39	0.428	0.506	87.336	83.393
40	0.420	0.456	87.520	84.505
41	0.421	0.482	87.538	83.954
42	0.411	0.476	87.991	84.445
43	0.411	0.437	87.748	85.377
44	0.405	0.473	88.167	84.635
45	0.392	0.460	88.367	84.806
46	0.401	0.456	88.239	84.645
47	0.388	0.484	88.758	84.235
48	0.388	0.459	88.524	84.625
49	0.377	0.504	88.954	83.554
50	0.373	0.456	89.089	84.786
51	0.372	0.428	89.014	85.677
52	0.365	0.480	89.379	84.105
53	0.369	0.467	89.113	84.726
54	0.354	0.511	89.679	83.704
55	0.356	0.520	89.716	83.804
56	0.351	0.439	89.914	85.417
57	0.349	0.449	89.988	85.256
58	0.345	0.422	90.066	85.958
59	0.347	0.481	89.920	83.874
60	0.340	0.460	90.182	84.916
61	0.340	0.423	90.329	86.078
62	0.334	0.448	90.419	85.437
63	0.330	0.411	90.595	86.448
64	0.328	0.438	90.597	85.487
65	0.319	0.540	90.785	83.343
66	0.328	0.413	90.631	87.059
67	0.322	0.420	90.777	86.538
68	0.320	0.459	90.865	85.407
69	0.318	0.480	90.879	84.686
70	0.320	0.527	90.785	82.963
71	0.312	0.420	91.104	86.318
72	0.304	0.469	91.320	84.956
73	0.311	0.427	91.222	86.278
74	0.307	0.432	91.348	86.168
75	0.305	0.506	91.288	83.884
76	0.295	0.398	91.631	87.550
77	0.298	0.542	91.484	83.614
78	0.298	0.388	91.460	87.340
79	0.298	0.450	91.480	85.657
80	0.296	0.453	91.538	85.517
81	0.292	0.438	91.723	85.637
82	0.291	0.444	91.765	85.817
83	0.290	0.412	91.683	86.528
84	0.284	0.455	92.005	85.146
85	0.282	0.415	91.967	86.639
86	0.280	0.497	92.151	84.545
87	0.289	0.448	91.801	85.787
88	0.280	0.434	92.049	86.138
89	0.280	0.408	92.033	86.909
90	0.280	0.402	92.069	86.759
91	0.269	0.436	92.518	86.248
92	0.272	0.463	92.304	85.447
93	0.270	0.435	92.456	86.498
94	0.271	0.429	92.374	86.058
95	0.264	0.456	92.636	85.907
96	0.272	0.462	92.286	85.667
97	0.266	0.440	92.510	85.827
98	0.271	0.410	92.362	86.919
99	0.258	0.423	92.841	86.599
100	0.266	0.447	92.388	86.078
101	0.259	0.469	92.812	85.427
102	0.262	0.447	92.662	86.178
103	0.260	0.417	92.712	87.019
104	0.255	0.396	92.798	87.780
105	0.256	0.428	92.909	86.969
106	0.262	0.465	92.674	85.547
107	0.245	0.493	93.145	84.726
108	0.257	0.431	92.911	86.458
109	0.255	0.421	92.909	86.468
110	0.257	0.424	92.780	86.959
111	0.252	0.436	93.065	86.368
112	0.249	0.387	93.077	87.931
113	0.245	0.411	93.069	87.420
114	0.248	0.423	93.115	86.889
115	0.250	0.491	92.985	84.976
116	0.248	0.371	93.019	88.161
117	0.239	0.422	93.413	86.869
118	0.244	0.399	93.225	87.420
119	0.239	0.406	93.241	87.079
120	0.249	0.409	93.257	87.360
