Namespace(Cluster_gamma=0.01, Feature_alpha=1.0, Label_beta=0.05, Use_tSNE=True, arch='vgg_small_1w1a', batch_size=128, epochs=600, evaluate=False, lr=0.05, momentum=0.9, num_classes=10, print_freq=50, resume='', save_dir='saveModel-000', save_every=100, seed=2023, start_epoch=0, temperature=4.0, warm_up_epochs=8, weight_decay=0.0001, workers=4)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	1.915	1.610	34.998	44.591
1	2.191	1.688	39.131	48.778
2	2.587	1.898	42.398	50.140
3	2.599	1.445	46.939	57.061
4	1.575	0.933	58.273	67.488
5	1.075	0.829	65.889	71.134
6	0.964	0.803	68.676	71.665
7	0.921	0.769	70.405	73.187
8	0.892	0.727	71.456	74.760
9	0.855	0.687	72.652	76.192
10	0.822	0.694	74.143	75.691
11	0.793	0.671	75.064	77.003
12	0.767	0.656	76.026	77.504
13	0.753	0.639	76.597	77.734
14	0.735	0.646	77.350	77.374
15	0.714	0.668	77.901	76.883
16	0.700	0.615	78.574	78.506
17	0.678	0.582	79.479	80.329
18	0.674	0.574	79.501	80.028
19	0.658	0.556	80.054	80.509
20	0.643	0.577	80.553	79.708
21	0.635	0.564	80.927	80.198
22	0.631	0.565	80.968	80.719
23	0.618	0.533	81.565	81.571
24	0.609	0.539	82.039	81.190
25	0.599	0.521	82.248	81.911
26	0.593	0.576	82.680	79.958
27	0.587	0.536	82.700	81.510
28	0.573	0.514	83.341	82.181
29	0.572	0.515	83.221	82.171
30	0.569	0.537	83.259	81.601
31	0.557	0.499	83.906	82.702
32	0.555	0.548	84.024	81.310
33	0.550	0.482	84.203	83.574
34	0.541	0.499	84.295	82.702
35	0.540	0.477	84.379	83.704
36	0.536	0.474	84.499	83.654
37	0.538	0.466	84.515	83.794
38	0.525	0.476	85.034	83.454
39	0.520	0.484	85.066	83.203
40	0.517	0.524	85.475	81.601
41	0.513	0.463	85.535	84.034
42	0.513	0.492	85.547	83.043
43	0.504	0.469	85.779	83.894
44	0.500	0.455	85.952	84.135
45	0.508	0.474	85.793	83.494
46	0.501	0.452	85.907	84.295
47	0.494	0.456	86.176	84.034
48	0.488	0.446	86.486	84.555
49	0.483	0.476	86.562	83.604
50	0.490	0.479	86.176	83.594
51	0.481	0.455	86.661	84.515
52	0.477	0.459	86.687	84.075
53	0.482	0.464	86.558	83.994
54	0.473	0.438	86.933	84.796
55	0.474	0.457	86.829	84.165
56	0.468	0.456	87.101	84.285
57	0.470	0.450	87.017	84.235
58	0.462	0.441	87.208	84.535
59	0.458	0.440	87.328	84.716
60	0.465	0.440	87.250	84.465
61	0.463	0.426	87.364	85.006
62	0.456	0.471	87.354	84.014
63	0.462	0.430	87.252	84.726
64	0.459	0.428	87.286	85.467
65	0.451	0.426	87.582	85.246
66	0.454	0.447	87.614	84.776
67	0.451	0.434	87.610	85.327
68	0.456	0.432	87.406	85.437
69	0.450	0.431	87.694	85.086
70	0.447	0.424	87.808	85.337
71	0.451	0.421	87.558	85.417
72	0.441	0.430	87.977	85.337
73	0.441	0.453	88.025	84.095
74	0.444	0.432	87.861	84.976
75	0.437	0.427	88.227	85.136
76	0.442	0.427	87.865	85.497
77	0.435	0.415	88.137	86.208
78	0.439	0.451	88.001	84.726
79	0.442	0.442	88.071	84.776
80	0.439	0.415	87.933	85.677
81	0.428	0.420	88.341	85.647
82	0.435	0.413	88.373	85.697
83	0.430	0.408	88.403	85.978
84	0.430	0.398	88.363	86.338
85	0.429	0.428	88.375	85.387
86	0.427	0.445	88.484	84.355
87	0.429	0.405	88.417	85.927
88	0.426	0.405	88.431	86.068
89	0.424	0.439	88.754	84.886
90	0.429	0.457	88.417	83.964
91	0.420	0.431	88.722	85.136
92	0.415	0.422	88.930	85.407
93	0.416	0.419	88.652	85.567
94	0.420	0.419	88.548	85.547
95	0.425	0.426	88.490	85.006
96	0.415	0.431	88.776	85.256
97	0.424	0.413	88.680	85.747
98	0.420	0.397	88.756	86.579
99	0.420	0.411	88.746	85.727
100	0.419	0.425	88.746	85.417
101	0.417	0.408	88.834	86.098
102	0.413	0.421	88.910	85.777
103	0.419	0.420	88.846	85.497
104	0.412	0.421	88.890	85.527
105	0.411	0.406	89.081	86.078
106	0.416	0.453	88.970	84.355
107	0.415	0.490	88.892	83.674
108	0.412	0.422	88.934	85.467
109	0.417	0.394	88.712	86.468
110	0.412	0.392	88.922	86.468
111	0.409	0.412	89.032	85.827
112	0.414	0.394	88.844	86.599
113	0.406	0.415	89.227	85.857
114	0.404	0.437	89.247	85.216
115	0.398	0.417	89.551	86.158
116	0.405	0.444	89.175	84.565
117	0.399	0.445	89.585	84.425
118	0.405	0.446	89.155	84.665
119	0.402	0.426	89.281	85.236
120	0.402	0.428	89.191	85.026
121	0.405	0.409	89.307	86.248
122	0.405	0.416	89.261	85.427
123	0.398	0.426	89.447	85.487
124	0.400	0.410	89.393	85.897
125	0.396	0.412	89.663	85.887
126	0.401	0.413	89.375	85.927
127	0.397	0.425	89.593	85.447
128	0.397	0.419	89.377	85.998
129	0.396	0.409	89.605	86.228
130	0.402	0.440	89.337	84.545
131	0.392	0.407	89.615	85.968
132	0.389	0.401	89.730	86.058
133	0.393	0.401	89.732	86.278
134	0.394	0.389	89.732	86.528
135	0.393	0.384	89.740	86.899
136	0.393	0.412	89.571	86.038
137	0.398	0.444	89.479	84.736
138	0.388	0.418	89.868	85.537
139	0.391	0.408	89.629	85.577
140	0.394	0.408	89.577	85.767
141	0.396	0.396	89.459	86.639
142	0.389	0.396	89.756	86.238
143	0.389	0.392	89.822	86.799
144	0.387	0.447	89.802	84.746
145	0.388	0.393	89.788	86.609
146	0.388	0.386	89.738	86.609
147	0.388	0.446	89.776	84.986
148	0.384	0.416	89.800	85.717
149	0.385	0.412	89.870	85.807
150	0.388	0.368	89.846	87.139
151	0.387	0.420	89.844	85.627
152	0.382	0.413	90.062	86.098
153	0.386	0.432	89.894	85.337
154	0.384	0.400	90.016	86.118
155	0.382	0.398	90.010	86.298
156	0.381	0.417	90.090	85.717
157	0.379	0.415	89.950	85.667
158	0.386	0.391	89.810	86.558
159	0.380	0.384	90.124	86.719
160	0.380	0.417	89.950	85.787
161	0.373	0.417	90.381	85.787
162	0.381	0.382	90.044	87.019
163	0.375	0.413	90.431	86.268
164	0.378	0.396	90.220	86.258
165	0.374	0.401	90.361	86.008
166	0.376	0.395	90.118	86.468
167	0.380	0.395	90.196	86.548
168	0.378	0.426	90.308	85.347
169	0.379	0.404	90.302	86.028
170	0.371	0.381	90.535	87.049
171	0.379	0.391	89.978	86.669
172	0.377	0.394	90.256	86.699
173	0.383	0.403	90.060	86.318
174	0.380	0.399	90.126	85.998
175	0.376	0.408	90.242	86.739
176	0.373	0.390	90.308	87.029
177	0.372	0.412	90.387	85.627
178	0.369	0.394	90.553	86.068
179	0.370	0.407	90.491	85.958
180	0.371	0.408	90.387	85.867
181	0.371	0.401	90.403	86.128
182	0.371	0.407	90.445	85.927
183	0.369	0.410	90.477	85.627
184	0.366	0.400	90.581	86.198
185	0.372	0.411	90.365	86.198
186	0.372	0.405	90.288	85.938
187	0.373	0.391	90.288	86.468
188	0.365	0.380	90.603	87.169
189	0.373	0.419	90.315	85.337
190	0.373	0.379	90.339	87.119
191	0.367	0.398	90.433	86.288
192	0.366	0.387	90.621	86.879
193	0.360	0.422	90.938	85.847
194	0.364	0.388	90.565	87.270
195	0.361	0.402	90.711	86.528
196	0.363	0.402	90.723	86.038
197	0.361	0.416	90.735	85.317
198	0.363	0.425	90.739	85.777
199	0.365	0.372	90.693	87.360
200	0.362	0.405	90.787	86.208
201	0.365	0.401	90.701	86.448
202	0.362	0.401	90.825	86.518
203	0.363	0.400	90.747	86.188
204	0.363	0.394	90.727	86.448
205	0.362	0.406	90.611	86.088
206	0.362	0.391	90.769	86.488
207	0.357	0.418	90.775	85.737
208	0.356	0.409	90.857	85.998
209	0.358	0.405	90.855	86.218
210	0.362	0.385	90.651	86.759
211	0.356	0.399	91.040	86.769
212	0.355	0.375	91.028	86.969
213	0.358	0.384	90.823	86.749
214	0.350	0.390	91.016	86.388
215	0.356	0.396	91.032	86.869
216	0.352	0.359	91.142	87.800
217	0.354	0.384	90.982	86.759
218	0.361	0.372	90.691	87.460
219	0.354	0.397	91.050	86.218
220	0.352	0.373	91.110	87.129
221	0.351	0.420	91.142	85.557
222	0.350	0.385	91.128	86.759
223	0.352	0.412	91.140	85.998
224	0.355	0.403	90.940	86.178
225	0.350	0.373	91.088	86.939
226	0.352	0.370	91.104	87.690
227	0.345	0.391	91.312	87.210
228	0.349	0.402	91.118	86.428
229	0.347	0.395	91.180	86.689
230	0.349	0.378	91.206	87.290
231	0.346	0.389	91.358	86.889
232	0.345	0.388	91.224	86.789
233	0.347	0.387	91.494	87.139
234	0.343	0.371	91.374	87.590
235	0.344	0.372	91.320	87.099
236	0.343	0.413	91.378	85.988
237	0.344	0.401	91.468	86.308
238	0.342	0.364	91.334	87.780
239	0.345	0.378	91.202	87.099
240	0.343	0.384	91.408	87.099
241	0.340	0.366	91.480	87.480
242	0.341	0.384	91.542	87.139
243	0.342	0.409	91.340	86.158
244	0.340	0.372	91.466	87.650
245	0.336	0.367	91.659	87.740
246	0.344	0.387	91.318	86.579
247	0.338	0.380	91.446	87.310
248	0.339	0.372	91.583	87.380
249	0.335	0.388	91.667	86.629
250	0.334	0.372	91.727	87.350
251	0.337	0.374	91.577	87.109
252	0.336	0.367	91.683	87.821
253	0.335	0.391	91.599	86.579
254	0.335	0.392	91.683	86.749
255	0.332	0.406	91.665	85.647
256	0.328	0.367	91.943	87.470
257	0.336	0.387	91.550	86.869
258	0.329	0.373	91.929	87.690
259	0.338	0.400	91.424	86.619
260	0.334	0.388	91.703	86.759
261	0.330	0.415	91.983	86.098
262	0.332	0.411	91.685	86.038
263	0.330	0.368	91.805	87.340
264	0.331	0.372	91.815	87.821
265	0.331	0.411	91.829	86.128
266	0.327	0.364	92.075	87.831
267	0.325	0.367	91.975	87.490
268	0.325	0.382	92.204	87.089
269	0.326	0.376	92.055	87.260
270	0.330	0.373	91.823	87.019
271	0.324	0.382	92.143	87.310
272	0.324	0.358	92.101	87.851
273	0.327	0.396	91.807	86.378
274	0.327	0.354	92.009	87.821
275	0.321	0.384	92.133	87.280
276	0.325	0.364	92.123	87.770
277	0.330	0.354	91.847	88.121
278	0.322	0.367	92.079	87.370
279	0.323	0.361	92.025	87.720
280	0.322	0.369	92.075	87.320
281	0.323	0.376	92.017	86.739
282	0.322	0.390	92.155	86.428
283	0.319	0.356	92.190	87.851
284	0.316	0.383	92.348	87.099
285	0.319	0.384	92.214	87.190
286	0.320	0.387	92.111	86.528
287	0.326	0.380	91.953	87.119
288	0.314	0.377	92.288	87.390
289	0.316	0.377	92.378	87.159
290	0.319	0.381	92.097	87.029
291	0.314	0.385	92.378	86.659
292	0.314	0.382	92.438	87.240
293	0.317	0.384	92.302	86.589
294	0.314	0.377	92.412	87.390
295	0.313	0.403	92.358	87.069
296	0.313	0.372	92.352	87.380
297	0.313	0.351	92.440	87.921
298	0.311	0.380	92.604	87.220
299	0.311	0.354	92.566	87.710
300	0.311	0.361	92.558	87.520
301	0.308	0.387	92.614	87.250
302	0.311	0.370	92.508	87.520
303	0.310	0.371	92.578	87.320
304	0.312	0.353	92.430	87.640
305	0.305	0.359	92.746	87.921
306	0.304	0.360	92.658	87.861
307	0.306	0.367	92.650	87.530
308	0.300	0.376	92.923	87.200
309	0.305	0.373	92.648	87.380
310	0.306	0.368	92.624	87.590
311	0.307	0.357	92.724	88.081
312	0.305	0.385	92.612	87.009
313	0.304	0.352	92.746	87.861
314	0.300	0.409	92.923	86.258
315	0.300	0.347	92.901	88.251
316	0.300	0.381	92.973	86.989
317	0.304	0.365	92.680	87.360
318	0.298	0.346	93.023	88.482
319	0.300	0.379	93.029	87.250
320	0.299	0.366	92.927	87.911
321	0.293	0.352	93.249	88.281
322	0.298	0.384	92.919	87.089
323	0.293	0.357	93.231	87.800
324	0.299	0.358	92.981	87.831
325	0.298	0.369	92.931	87.670
326	0.285	0.356	93.399	87.831
327	0.288	0.382	93.327	87.310
328	0.296	0.381	93.089	87.119
329	0.292	0.365	93.135	87.560
330	0.295	0.347	93.085	88.161
331	0.290	0.365	93.163	87.670
332	0.291	0.345	93.123	88.151
333	0.288	0.353	93.343	88.101
334	0.288	0.360	93.329	87.660
335	0.293	0.380	93.199	87.490
336	0.290	0.356	93.239	87.961
337	0.291	0.360	93.195	87.290
338	0.289	0.346	93.277	88.251
339	0.282	0.387	93.514	87.360
340	0.285	0.368	93.510	87.360
341	0.285	0.350	93.510	88.061
342	0.283	0.357	93.387	88.191
